score,highscore,block width difference
5,5,"88, 69, 60, 54, 35"
5,5,"88, 69, 60, 54, 35"
1,5,"88, 69, 60, 54, 35, 32"
1,5,"88, 69, 60, 54, 35, 32"
0,5,"88, 69, 60, 54, 35, 32"
10,10,"100, 81, 69, 68, 61, 53, 42, 24, 21, 3"
9,10,"91, 79, 58, 58, 47, 36, 23, 17, 9"
14,14,"82, 79, 73, 64, 58, 46, 41, 38, 35, 29, 12, 12, 10, 4"
16,16,"100, 97, 94, 86, 85, 76, 67, 59, 56, 55, 38, 30, 26, 18, 15, 11"
14,16,"100, 91, 79, 74, 66, 66, 56, 51, 47, 39, 33, 22, 15, 3"
1,16,84
14,16,"96, 95, 93, 88, 80, 75, 58, 56, 44, 44, 40, 38, 31, 5"
8,16,"91, 85, 76, 61, 43, 41, 21, 6"
14,16,"100, 86, 82, 74, 62, 61, 58, 55, 43, 43, 40, 36, 25, 14"
6,16,"82, 76, 52, 46, 34, 14"
16,16,"100, 99, 98, 94, 89, 86, 74, 55, 54, 51, 36, 35, 16, 12, 8, 8"
12,16,"100, 91, 82, 77, 65, 53, 42, 29, 26, 19, 17, 4"
10,16,"94, 93, 93, 70, 49, 45, 45, 30, 25, 5"
13,16,"99, 98, 88, 79, 77, 70, 59, 42, 38, 33, 27, 18, 1"
16,16,"94, 87, 87, 80, 73, 61, 57, 43, 40, 39, 38, 34, 27, 24, 12, 8"
14,16,"94, 92, 86, 82, 82, 80, 78, 68, 53, 51, 37, 19, 10, 4"
12,16,"83, 76, 61, 58, 51, 46, 41, 33, 31, 17, 2, 1"
14,16,"98, 90, 88, 82, 78, 76, 65, 56, 47, 38, 25, 13, 8, 1"
